Title,Year,Votes,Rating
#1 Cheerleader Camp,2010,2119,3.7
$,1971,1419,6.5
$5 a Day,2008,2352,6.4
$50K and a Call Girl: A Love Story,2014,1290,7.1
9.99,2008,2281,6.7
$ellebrity,2012,800,5.2
$windle,2002,715,5.5
'A' gai wak,1983,8135,7.5
'A' gai wak 2,1987,4746,7.2
'Breaker' Morant,1980,9053,7.9
'Crocodile' Dundee II,1988,37627,5.4
'D',2005,831,6.8
'Doc',1971,610,6.2
'G' Men,1935,2124,7.2
'Gung Ho!': The Story of Carlson's Makin Island Raiders,1943,842,6.2
'Hukkunud Alpinisti' hotell,1979,538,7
'I Know Where I'm Going!',1945,4902,7.7
"'Je vous salue, Marie'",1985,1788,6.7
'Merci la vie',1991,761,6.9
'Neath Brooklyn Bridge,1942,503,7.5
'Neath the Arizona Skies,1934,534,5.2
"'Non', ou A VÑ Gl€ria de Mandar",1990,523,7
'Northwest Passage' Book I -- Rogers' Rangers,1940,2145,7.2
'Pimpernel' Smith,1941,672,7.4
"'Please Kill Me, I'm a Faggot Nigger Jew'",1996,647,8.4
'R Xmas,2001,936,5.7
'Round Midnight,1986,3212,7.4
'Salem's Lot,2004,6800,6.3
"'Sheba, Baby'",1975,600,5.7
'Til There Was You,1997,2112,4.7
'Twas the Night Before Christmas,1974,1006,7.3
"'night, Mother",1986,1477,7.5
500 Days of Summer,2009,280790,7.8
(Sàkarna),1993,1528,4.5
(T)Raumschiff Surprise - Periode 1,2004,7900,5.2
(Untitled),2009,1608,6.3
*batteries not included,1987,18714,6.4
1,2013,3010,5.6
-- And Now the Screaming Starts!,1973,1261,5.8
...All the Marbles,1981,1209,6.3
...And Justice for All.,1979,17626,7.4
...E tu vivrai nel terrore! L'aldilá,1981,12088,6.9
...First Do No Harm,1997,1063,6.9
...Pi? forte ragazzi!,1972,3198,6.6
...Yahaan,2005,642,7.6
...altrimenti ci arrabbiamo!,1974,5276,7.4
...ing,2003,1660,7.5
...tick... tick... tick...,1970,542,6.6
0.45,2006,6669,5.7
.com for Murder,2002,1891,2.7
00 Schneider - Im Wendekreis der Eidechse,2013,515,6.1
00 Schneider - Jagd auf Nihil Baxter,1994,1707,7.2
6,1994,518,6.3
5-Jun,2004,1130,6.6
1,2013,1245,8
1 - Nenokkadine,2014,20118,8.9
1 1/2 Ritter - Auf der Suche nach der hinrei?enden Herzelinde,2008,1500,3.7
1 Night in Paris,2004,2726,4.7
1 chance sur 2,1998,1541,5.7
1-Ichi,2003,552,5.6
10,1979,10388,6
10 Items or Less,2006,11302,6.7
10 Questions for the Dalai Lama,2006,522,7.5
10 Rillington Place,1971,4033,7.6
10 Rules for Sleeping Around,2013,669,3.8
10 Things I Hate About You,1999,166999,7.2
10 Years,2011,12986,6.1
10 minuta,2002,681,7.9
10 to Midnight,1983,3435,6.2
"10,000 BC",2008,91772,5
10.5,2004,2925,4.4
10.5: Apocalypse,2006,1704,4.2
100 Bloody Acres,2012,1540,5.9
100 Degrees Below Zero,2013,937,2.3
100 Feet,2008,8809,5.6
100 Ghost Street: The Return of Richard Speck,2012,515,3.9
100 Girls,2000,16703,5.9
100 Mile Rule,2002,614,5.8
100 Million BC,2008,3575,2.3
100 Rifles,1969,1508,5.9
100 Tears,2007,870,4
100 Years at the Movies,1994,572,7.9
100% Love,2011,779,6.9
1001 Inventions and the Library of Secrets,2010,522,8.2
101,1989,951,8.1
101 Dalmatians,1996,57079,5.6
101 Dalmatians II: Patch's London Adventure,2003,2827,5.6
101 ReykjavÃk,2000,7316,6.9
102 Dalmatians,2000,21135,4.8
102 Minutes That Changed America,2008,1187,8.2
10th & Wolf,2006,5147,6.5
11 Harrowhouse,1974,608,6.3
11'09''01 - September 11,2002,4437,7
